Date,Application Count,Application Set as Unsuccessful Count,Application Set as Successful Count,,,,
01/06/2015,5068,3895,63,,,,
02/06/2015,4648,3921,73,,,,
03/06/2015,3983,3020,45,,,,
04/06/2015,3486,3481,67,,,,
05/06/2015,2997,2912,45,,,,
06/06/2015,1721,103,0,,,,
07/06/2015,2263,96,1,,,,
08/06/2015,4981,3585,55,,,,
09/06/2015,5944,3854,35,,,,
10/06/2015,5689,3246,51,,,,
11/06/2015,5295,3074,53,,,,
12/06/2015,4266,2424,49,,,,
13/06/2015,2388,70,0,,,,
14/06/2015,3297,69,2,,,,
15/06/2015,5621,4197,65,,,,
16/06/2015,5686,3855,74,,,,
17/06/2015,6069,3443,74,,,,
18/06/2015,4282,3557,59,,,,
19/06/2015,4380,2449,39,,,,
20/06/2015,2572,57,1,,,,
21/06/2015,3415,118,0,,,,
22/06/2015,6554,4150,49,,,,
23/06/2015,6055,4097,75,,,,
24/06/2015,5742,3414,62,,,,
25/06/2015,5533,3420,54,,,,
26/06/2015,4278,2684,47,,,,
27/06/2015,2501,110,1,,,,
28/06/2015,3330,84,1,,,,
29/06/2015,6039,5750,62,,,,
30/06/2015,4944,4234,45,,,,
01/07/2015,4599,4547,55,,,,
02/07/2015,5353,3685,84,,,,
03/07/2015,3699,3033,53,,,,
04/07/2015,2391,135,1,,,,
05/07/2015,3755,164,4,,,,
06/07/2015,6879,5498,78,,,,
07/07/2015,6534,5248,92,,,,
08/07/2015,6473,4609,62,,,,
09/07/2015,5841,4448,69,,,,
10/07/2015,4373,4666,88,,,,
11/07/2015,2522,294,1,,,,
12/07/2015,2896,85,1,,,,
