Date,Count
"2015-07-15",286
"2015-07-14",2789
"2015-07-13",3110
"2015-07-12",1428
"2015-07-11",1017
"2015-07-10",2269
"2015-07-09",2619
"2015-07-08",3054
"2015-07-07",3250
"2015-07-06",3311
"2015-07-05",1487
"2015-07-04",976
"2015-07-03",1644
"2015-07-02",1959
"2015-07-01",1715
"2015-06-30",1749
"2015-06-29",1884
"2015-06-28",970
"2015-06-27",672
"2015-06-26",1367
"2015-06-25",2055
"2015-06-24",2093
"2015-06-23",2146
"2015-06-22",2365
"2015-06-21",1064
"2015-06-20",820
"2015-06-19",1522
"2015-06-18",1677
"2015-06-17",2220
"2015-06-16",2222
"2015-06-15",2406
"2015-06-14",1252
"2015-06-13",930
"2015-06-12",1709
"2015-06-11",2306
"2015-06-10",2642
"2015-06-09",2813
"2015-06-08",2365
"2015-06-07",884
"2015-06-06",662
"2015-06-05",1325
"2015-06-04",1603
"2015-06-03",1953
"2015-06-02",2151
"2015-06-01",2538
